日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
2015/4/10,0.03039,0.030327,0.031602,0.032085,0.032571,0.034695,0.036389,0.036947,0.041749,0.042938
2015/4/13,0.030072,0.030773,0.031602,0.03219,0.032779,0.03467,0.035863,0.036685,0.041749,0.042938
2015/4/14,0.030327,0.030721,0.031302,0.03166,0.032023,0.034744,0.035624,0.036211,0.041275,0.042574
2015/4/15,0.030501,0.030721,0.031002,0.031412,0.031827,0.03417,0.03541,0.035954,0.041018,0.042317
2015/4/16,0.030498,0.030501,0.030729,0.031358,0.031988,0.034207,0.035329,0.0356,0.040664,0.041963
2015/4/17,0.030448,0.0303,0.031628,0.031946,0.032273,0.033977,0.035307,0.035627,0.040691,0.04199
2015/4/20,0.02955,0.0298,0.030872,0.031192,0.031526,0.033165,0.034093,0.034554,0.039616,0.040915
2015/4/21,0.02885,0.029919,0.030092,0.030629,0.031193,0.032856,0.03357,0.034055,0.039117,0.040979
2015/4/22,0.028283,0.030194,0.030152,0.030783,0.03145,0.032891,0.033776,0.034052,0.039114,0.040976
2015/4/23,0.028199,0.029728,0.029713,0.030931,0.032109,0.032936,0.034118,0.034151,0.039213,0.040976
2015/4/24,0.028198,0.029731,0.029276,0.030838,0.032255,0.033075,0.0342,0.034453,0.040081,0.041845
2015/4/27,0.026971,0.029205,0.028663,0.030224,0.031722,0.03274,0.033712,0.033952,0.040082,0.041845
2015/4/28,0.027071,0.028996,0.028266,0.030108,0.031735,0.032623,0.033512,0.033803,0.039934,0.041697
2015/4/29,0.027071,0.029343,0.028267,0.030048,0.031663,0.032581,0.033617,0.034,0.04013,0.041715
2015/4/30,0.027044,0.027856,0.02694,0.029479,0.031561,0.032533,0.033503,0.033503,0.039633,0.041218
2015/5/4,0.026244,0.027659,0.027296,0.029425,0.031421,0.032656,0.033516,0.033804,0.039934,0.041519
2015/5/5,0.026531,0.027903,0.027278,0.02952,0.031496,0.032599,0.033623,0.034006,0.040134,0.041719
2015/5/6,0.025531,0.02708,0.02708,0.029396,0.031516,0.032788,0.034324,0.03456,0.040612,0.042196
2015/5/7,0.025419,0.027402,0.026912,0.029163,0.031273,0.032828,0.0344,0.034401,0.040513,0.042098
2015/5/8,0.025146,0.027039,0.026821,0.028935,0.030917,0.032484,0.034002,0.033703,0.039815,0.0414
