,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2369,2015-04-17,4596.136,5295.19,35658149159539.8,26727854937510.0,10239580984257.514,16.8262,0.6454,26.0389,14.8281,10.3894
2368,2015-04-20,4521.919,5209.69,34980685310216.81,26291138874476.0,10075546417144.51,16.5102,0.637,26.0657,14.8166,10.3875
2367,2015-04-21,4619.164,5321.72,35525759028506.09,26699192530059.0,10310169776864.898,16.7782,0.6436,26.0657,14.8166,10.3875
2366,2015-04-22,4739.814,5460.85,36332384644281.805,27311455400884.0,10555065708823.035,17.1494,0.6489,26.0657,14.8166,10.3875
2365,2015-04-23,4740.892,5462.12,36359768369229.6,27353344353113.0,10562076869784.057,17.1197,0.6485,26.0657,14.8166,10.3875
2364,2015-04-24,4702.641,5418.12,36076453864140.49,27206122504242.0,10481082814121.729,16.9033,0.6458,26.0389,14.8281,10.3894
2363,2015-04-27,4807.592,5539.03,37256974273705.89,28138867930865.0,10757961742363.229,17.5142,0.6564,26.0657,14.8166,10.3875
2362,2015-04-28,4741.861,5463.3,37027260044444.09,27910384104550.0,10674863351102.62,17.5239,0.6564,26.0657,14.8169,10.3875
2361,2015-04-29,4774.326,5500.89,36849231233484.49,27777602395638.0,10769708006307.838,17.3512,0.6527,26.0657,14.8169,10.3875
2360,2015-04-30,4749.886,5474.64,36460390329804.805,27506465486855.0,10907473859651.133,17.0525,0.6461,26.0657,14.8169,10.3875
2359,2015-05-04,4787.741,5518.49,36741456466412.29,27757792777843.0,10995345134104.27,17.182,0.6483,26.0389,14.8287,10.3894
2358,2015-05-05,4596.837,5298.45,35235221357613.09,26637502227711.0,10556170722452.98,16.4776,0.6315,26.0389,14.8298,10.3894
2357,2015-05-06,4553.327,5248.29,34785105768344.9,26264584974955.0,10459333373921.21,16.2679,0.6214,26.0389,14.8309,10.3894
2356,2015-05-07,4470.089,5152.35,33971910644630.1,25641320345134.0,10266548615381.129,15.8876,0.5961,26.0389,14.8377,10.3894
2355,2015-05-08,4558.404,5254.69,34636715872674.6,26144794275584.0,10468489257510.768,16.1985,0.6176,26.0389,14.8445,10.3894
2354,2015-05-11,4690.532,5407.13,35526371966896.2,26833382195233.0,10774968932250.008,16.611,0.6368,26.0389,14.8539,10.3894
2353,2015-05-12,4747.421,5472.99,35914407062631.3,27118225007030.0,10911260916913.518,16.7924,0.6409,26.0389,14.8634,10.3894
2352,2015-05-13,4718.436,5439.79,35620112228516.4,26870421427840.0,10836681621470.68,16.6548,0.638,26.0389,14.8722,10.3894
2351,2015-05-14,4700.778,5419.85,35522244860856.31,26789049584648.0,10797808550454.19,16.609,0.6355,26.0389,14.8776,10.3894
2350,2015-05-15,4617.47,5324.13,34868591107255.406,26327249949576.0,10608924497364.955,16.3034,0.6234,26.0389,14.879,10.3894
2349,2015-05-18,4575.14,5275.59,34443942433180.4,25994012505207.0,10514294516215.629,16.1049,0.6104,26.0389,14.8889,10.3894
2348,2015-05-19,4731.222,5455.72,35565722064436.3,26844755493507.0,10875285736625.363,16.6294,0.6372,26.0389,14.9008,10.3894
2347,2015-05-20,4754.919,5483.97,35672075120798.4,26946750688018.0,10929675636540.87,16.6791,0.6384,26.0389,14.9129,10.3894
2346,2015-05-21,4840.976,5583.63,35826349676156.59,27037644357772.0,11012771762619.12,16.8004,0.6409,26.0389,14.9312,10.3894
2345,2015-05-22,4951.335,5711.57,36765655991676.5,27739041229555.0,11270541585770.94,17.2409,0.6509,26.0389,14.9448,10.3894
2344,2015-05-25,5099.495,5882.48,37871102539187.3,28604868424735.0,11613679105775.014,17.7593,0.6594,26.0389,14.9472,10.3894
2343,2015-05-26,5198.918,5997.45,38540903902360.7,29040918753515.0,11843721903039.398,18.0734,0.6623,26.0389,14.9505,10.3894
2342,2015-05-27,5181.434,5980.52,38490316900890.49,29001566899648.0,11805826570835.52,18.0497,0.6615,26.0389,14.9547,10.3894
2341,2015-05-28,4834.007,5580.91,35898281581223.6,27002922503543.0,11008926457430.186,16.8342,0.6409,26.0389,14.9571,10.3894
2340,2015-05-29,4840.829,5588.83,35801311653620.31,26903236400016.0,11025514414108.73,16.7887,0.6382,26.0389,14.9579,10.3894
2339,2015-06-01,5076.179,5860.76,37565961813265.7,28184977828833.0,11569273022823.867,17.6162,0.6573,26.0389,14.9758,10.3894
2338,2015-06-02,5161.87,5959.84,38001631125015.81,28526307415679.0,11757338911922.064,17.8205,0.659,26.0389,14.9859,10.3894
2337,2015-06-03,5143.59,5942.72,37955047488473.3,28525623828808.0,11712790719783.604,17.8002,0.6586,26.0389,14.9905,10.3894
2336,2015-06-04,5181.416,5986.63,38453538500707.09,28834100876522.0,11813809487727.35,18.0321,0.661,26.0389,14.9933,10.3894
2335,2015-06-05,5230.552,6043.57,38852753778500.69,29171951892614.0,11919979972461.566,18.2193,0.6637,26.0389,14.9953,10.3894
2334,2015-06-08,5353.751,6186.02,40543501720888.7,30433049226041.0,12198116023878.293,19.0122,0.6693,26.0389,15.0203,10.3894
